date,market_ret,breadth,market_anomaly_flag,flag_rate
2018-02-21,-2.4182134104996526e-06,0.42857142857142855,0,0.0
2018-02-22,0.0008188891588756876,0.5714285714285714,0,0.0
2018-02-23,0.021403916894584953,1.0,0,0.0
2018-02-26,0.01629488855805818,1.0,0,0.0
2018-02-27,-0.012278382274437496,0.0,0,0.0
2018-02-28,-0.005905448857033273,0.2857142857142857,0,0.0
2018-03-01,-0.018333262057924165,0.0,0,0.0
2018-03-02,0.00821257623625,1.0,0,0.0
2018-03-05,0.011374553869237549,1.0,0,0.0
2018-03-06,0.0016854667180536648,0.5714285714285714,0,0.0
2018-03-07,0.007690920940856898,0.7142857142857143,0,0.0
2018-03-08,0.004170025061851744,0.7142857142857143,0,0.0
2018-03-09,0.02072879268887906,1.0,0,0.0
2018-03-12,0.00454818335938242,0.7142857142857143,0,0.0
2018-03-13,-0.011676212829076335,0.0,0,0.14285714285714285
2018-03-14,0.0017709114657959355,0.5714285714285714,0,0.0
2018-03-15,-0.0005418597278997421,0.5714285714285714,0,0.14285714285714285
2018-03-16,0.000697058595172043,0.2857142857142857,0,0.2857142857142857
2018-03-19,-0.026333264992799293,0.0,0,0.14285714285714285
2018-03-20,0.005531227081907707,0.5714285714285714,0,0.14285714285714285
2018-03-21,-0.006108920782669954,0.14285714285714285,0,0.14285714285714285
2018-03-22,-0.02613380661657521,0.0,0,0.0
2018-03-23,-0.025867029104486922,0.0,0,0.14285714285714285
2018-03-26,0.03762641547910912,1.0,0,0.5714285714285714
2018-03-27,-0.0411129741625638,0.0,0,1.0
2018-03-28,-0.0130571801606494,0.14285714285714285,0,0.14285714285714285
2018-03-29,0.022100904541199094,1.0,0,0.2857142857142857
2018-04-02,-0.02870913959324303,0.0,0,0.2857142857142857
2018-04-03,0.010554184847222084,1.0,0,0.0
2018-04-04,0.01417021453421544,0.8571428571428571,0,0.14285714285714285
2018-04-05,0.011443620624253224,0.8571428571428571,0,0.0
2018-04-06,-0.023486091459781994,0.0,1,0.0
2018-04-09,0.0062721507778081675,1.0,0,0.0
2018-04-10,0.02575487899555649,1.0,0,0.0
2018-04-11,-0.0037536682005971616,0.14285714285714285,1,0.0
2018-04-12,0.010118932558532658,0.8571428571428571,0,0.0
2018-04-13,-0.004830135482331037,0.2857142857142857,1,0.0
2018-04-16,0.0070926489137681835,1.0,0,0.0
2018-04-17,0.026699599282465077,1.0,0,0.0
2018-04-18,0.00011896613216882164,0.42857142857142855,0,0.0
2018-04-19,-0.0014433377024712765,0.42857142857142855,0,0.0
2018-04-20,-0.01729682035131754,0.0,1,0.14285714285714285
2018-04-23,-0.002230432031838544,0.2857142857142857,1,0.0
2018-04-24,-0.028447952637810574,0.0,1,0.2857142857142857
2018-04-25,0.0004979189308455296,0.5714285714285714,0,0.0
2018-04-26,0.029393637082186785,1.0,0,0.14285714285714285
2018-04-27,0.0033489369899092187,0.42857142857142855,0,0.0
2018-04-30,-0.003623361153245606,0.14285714285714285,1,0.0
2018-05-01,0.01411504608112841,1.0,0,0.0
2018-05-02,-0.000623200926900745,0.2857142857142857,1,0.14285714285714285
2018-05-03,0.0037916920102983704,0.5714285714285714,0,0.0
2018-05-04,0.018984291568430654,1.0,0,0.0
2018-05-07,0.00885803172164674,1.0,0,0.0
2018-05-08,0.0026374416515582305,0.42857142857142855,0,0.0
2018-05-09,0.015046276090874182,1.0,0,0.0
